v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	121772	26	6377	-5.328425000000003	0.14895372459267744	SUCCESS
v1	95058	24	5411	-3.823242500000001	0.054184468113413556	SUCCESS
v2	213882	26	10896	-1.1434250000000006	0.0002846619097204966	SUCCESS
v3	122372	26	6402	-0.7128425000000007	0.022243185277081166	SUCCESS
v4	206702	27	10272	-6.743665	0.14895372459267814	SUCCESS
v5	177296	26	9156	-4.336045	0.0019739910630146287	SUCCESS
v6	142946	26	7616	-7.341330000000001	0.0007594264177822323	SUCCESS
v7	119658	26	6265	-4.3526925	0.02077462495819535	SUCCESS
v8	203974	27	10153	-2.1280824999999997	0.022243185277081256	SUCCESS
v9	205396	27	10220	-6.743665	0.14895372459267792	SUCCESS
v10	132110	27	7396	-4.3526925	0.020774624958195584	SUCCESS
v11	182372	26	9374	-4.336045	0.0019739910630145545	SUCCESS
v12	142790	26	7615	-7.341330000000001	0.0007594264177822877	SUCCESS
v13	207538	27	10289	-2.1280824999999997	0.022243185277081273	SUCCESS
v14	119224	26	6274	-5.328425000000003	0.14895372459267872	SUCCESS
v15	213334	26	10917	-1.1434250000000006	0.0002846619097204918	SUCCESS
v16	95058	24	5411	-3.823242500000001	0.054184468113414035	SUCCESS
v17	121772	26	6377	-0.7128425000000007	0.022243185277081374	SUCCESS
v18	98540	24	5571	-4.070762500000005	0.029403342511836864	SUCCESS
v19	215740	26	10981	-2.1103375000000018	0.02224318527708135	SUCCESS
v20	118390	25	6381	-2.1103375000000018	0.02224318527708123	SUCCESS
v21	172914	25	9011	-2.903050000000002	0.0024286659824507206	SUCCESS
v22	97288	24	5508	-0.9741250000000008	0.0033106287499047177	SUCCESS
v23	100006	24	5629	-4.070762500000002	0.02940334251183629	SUCCESS
v24	178782	27	8967	-2.903050000000002	0.0024286659824507384	SUCCESS
v25	214462	26	10949	-2.1103375000000018	0.022243185277081183	SUCCESS
v26	117742	25	6355	-2.1103375000000018	0.02224318527708135	SUCCESS
v27	98778	24	5585	-0.974124999999999	0.003310628749904623	SUCCESS
